scale_tokens,bucket,sampled_pairs,replicated_pairs,replication_rate,mean_heldout_shared,median_heldout_shared,mean_train_evidence
100000,1,2000,1871,0.935500,99.913000,41.000000,1.000000
100000,2-3,2000,1959,0.979500,354.155500,153.000000,2.211500
100000,4-7,807,803,0.995043,1161.094176,622.000000,4.843866
100000,8-15,208,206,0.990385,3302.519231,2376.500000,10.293269
100000,16+,103,103,1.000000,8181.679612,7250.000000,34.388350
300000,1,2000,1862,0.931000,50.989500,25.000000,1.000000
300000,2-3,2000,1927,0.963500,179.214500,102.000000,2.200500
300000,4-7,2000,1976,0.988000,555.267500,422.500000,4.875500
300000,8-15,832,826,0.992788,1277.250000,1081.000000,10.296875
300000,16+,449,447,0.995546,4630.178174,3581.000000,46.327394
1000000,1,2000,1745,0.872500,23.950500,10.000000,1.000000
1000000,2-3,2000,1932,0.966000,79.585000,53.500000,2.209500
1000000,4-7,2000,1974,0.987000,209.921500,171.500000,4.866500
1000000,8-15,2000,1974,0.987000,447.883500,404.000000,10.340000
1000000,16+,2000,1993,0.996500,1717.142500,1124.500000,51.599000
3000000,1,2000,1523,0.761500,10.821500,4.000000,1.000000
3000000,2-3,2000,1899,0.949500,39.988000,26.000000,2.205500
3000000,4-7,2000,1939,0.969500,99.424000,83.000000,4.897000
3000000,8-15,2000,1965,0.982500,195.368500,172.000000,10.425500
3000000,16+,2000,1991,0.995500,747.012500,477.000000,51.453500
10000000,1,2000,1434,0.717000,6.728000,2.000000,1.000000
10000000,2-3,2000,1909,0.954500,22.753500,14.000000,2.246000
10000000,4-7,2000,1960,0.980000,45.692000,35.000000,4.939000
10000000,8-15,2000,1984,0.992000,82.151500,69.000000,10.438500
10000000,16+,2000,1995,0.997500,312.916500,181.000000,67.471500
30000000,1,2000,1302,0.651000,4.837500,1.000000,1.000000
30000000,2-3,2000,1840,0.920000,13.305500,7.000000,2.263000
30000000,4-7,2000,1972,0.986000,24.322500,17.000000,4.983000
30000000,8-15,2000,1987,0.993500,41.374000,30.000000,10.503500
30000000,16+,2000,1998,0.999000,132.533500,79.000000,58.243500
100000000,1,2000,1145,0.572500,3.184000,1.000000,1.000000
100000000,2-3,2000,1638,0.819000,7.532000,3.000000,2.270000
100000000,4-7,2000,1880,0.940000,14.341500,8.000000,4.962000
100000000,8-15,2000,1945,0.972500,22.221000,14.500000,10.499000
100000000,16+,2000,1983,0.991500,58.199000,33.000000,60.402000
