scale_tokens,m,pairs,nodes,components,largest_component,largest_component_ratio,labeled_pairs,same_pos_pairs,same_pos_rate
100000,1,43361,2657,3,2653,0.910432,16227,5934,0.365687
100000,2,5849,1489,29,1424,0.488675,2283,787,0.344722
100000,4,1118,436,17,395,0.135553,470,154,0.327660
100000,8,311,149,9,133,0.045642,153,59,0.385621
100000,16,103,69,6,56,0.019218,51,23,0.450980
300000,1,187634,8381,8,8367,0.953396,62322,27301,0.438064
300000,2,21727,4748,42,4660,0.530994,8039,3208,0.399055
300000,4,4470,1448,41,1351,0.153943,1736,576,0.331797
300000,8,1281,480,17,444,0.050593,606,214,0.353135
300000,16,449,192,15,161,0.018345,252,102,0.404762
1000000,1,927215,28108,16,28074,0.961537,202275,91061,0.450184
1000000,2,108096,17184,78,17025,0.583108,31687,12284,0.387667
1000000,4,23928,5992,66,5850,0.200363,7613,2336,0.306844
1000000,8,7309,2054,23,1999,0.068466,2638,791,0.299848
1000000,16,2583,779,13,749,0.025653,1115,343,0.307623
3000000,1,3422919,80679,28,80613,0.956490,492189,220000,0.446983
3000000,2,393938,50687,192,50276,0.596535,95210,38422,0.403550
3000000,4,93547,19298,127,18996,0.225392,25941,8047,0.310204
3000000,8,28935,7032,56,6885,0.081692,9058,2423,0.267498
3000000,16,10318,2633,27,2558,0.030351,3658,980,0.267906
10000000,1,10292321,98351,5,98342,0.986092,1281483,557961,0.435403
10000000,2,1490571,86995,62,86858,0.870940,332574,140833,0.423464
10000000,4,403318,53067,114,52805,0.529485,104035,36810,0.353823
10000000,8,135055,24458,78,24259,0.243249,38172,10466,0.274180
10000000,16,49487,10310,45,10190,0.102177,15451,3568,0.230924
30000000,1,23100751,94047,3,94042,0.994469,2537969,1084494,0.427308
30000000,2,4220132,92015,14,91986,0.972728,823666,358527,0.435282
30000000,4,1291436,80726,47,80624,0.852578,296187,116854,0.394528
30000000,8,475135,56084,77,55882,0.590937,116697,38130,0.326744
30000000,16,183647,29850,56,29715,0.314228,48825,12532,0.256672
100000000,1,50618927,91753,1,91753,0.995249,4607477,1922002,0.417148
100000000,2,11506790,91044,4,91036,0.987472,1816781,797137,0.438763
100000000,4,3922868,88495,17,88463,0.959562,750477,316579,0.421837
100000000,8,1579781,80618,29,80561,0.873849,323733,122521,0.378463
100000000,16,663898,63163,46,63049,0.683895,143096,45480,0.317829
