corpus,preprocessing,nominal_tokens,actual_tokens,sentences,documents,paragraphs,initial_objects,local_witnesses,merge_candidates,accepted_merges,rejected_merges,redundant_candidates,induced_unions,resulting_classes,largest_class,largest_class_ratio,median_class_size,p95_class_size,accepted_merge_rate,rejected_merge_rate,objects_with_empty_frame,empty_frame_object_share,empty_frame_witness_share,empty_frame_candidate_share,empty_frame_accepted_share,empty_frame_exclusive_accepted,largest_class_members_with_empty_frame,common_objects_prev,changed_pairs_prev,changed_pair_share_prev,pos_labeled_objects,within_class_pos_purity,within_class_labeled_pairs,pairwise_same_pos_precision,runtime_seconds,peak_rss_mb
fineweb,structured,100000,100041,5644,187,2951,146217,61346,61172,814,18259,42099,145,145258,301,0.002059,1,1,0.013307,0.298486,339,0.002318,0.933900,0.936556,0.378378,306,284,0,0,0.000000,6603,0.997577,30,0.166667,10.054171,114.308594
fineweb,structured,200000,200002,10800,325,5579,264315,169292,169058,1420,53208,114430,235,262660,503,0.001903,1,1,0.008399,0.314732,570,0.002157,0.957901,0.959227,0.366901,519,471,0,0,0.000000,0,-1,0,-1,47.153414,202.082031
fineweb,v23d,100000,89078,5219,187,187,140128,69620,69582,742,34050,34790,44,139342,323,0.002305,1,1,0.010664,0.489351,362,0.002583,0.938538,0.939050,0.440701,325,260,0,0,0.000000,6603,0.995002,86,0.209302,114.710483,107.980469
fineweb,v23d,200000,179028,10391,331,331,254349,241979,241834,1392,135878,104564,106,252851,580,0.002280,1,1,0.005756,0.561865,680,0.002673,0.954050,0.954622,0.410920,570,451,0,0,0.000000,0,-1,0,-1,4722.371070,192.886719
pes2o,structured,100000,100022,3253,15,223,108058,3232,3228,116,2242,870,10,107932,42,0.000389,1,1,0.035936,0.694548,78,0.000722,0.929146,0.929368,0.508621,59,42,0,0,0.000000,3253,0.999385,3,0.333333,2.459951,204.738281
pes2o,structured,200000,200020,6630,33,467,214140,16846,16824,232,12205,4387,20,213888,95,0.000444,1,1,0.013790,0.725452,181,0.000845,0.966995,0.967011,0.551724,128,94,0,0,0.000000,0,-1,0,-1,8.369088,183.808594
pes2o,structured,400000,400036,13054,74,871,381544,54830,54751,484,40488,13779,30,381030,168,0.000440,1,1,0.008840,0.739493,327,0.000857,0.972114,0.973005,0.479339,232,166,0,0,0.000000,0,-1,0,-1,111.086286,328.660156
pes2o,structured,1000000,1000009,33225,174,2149,867768,245794,245453,1318,181368,62767,128,866322,368,0.000424,1,1,0.005370,0.738911,694,0.000800,0.978344,0.979430,0.371017,489,353,108058,1436,0.000000,7630,0.999607,6,0.333333,2578.749281,894.660156
pes2o,v23d,100000,85333,4458,15,15,101536,31080,30972,517,17503,12952,150,100869,111,0.001093,1,1,0.016692,0.565123,188,0.001852,0.565573,0.565769,0.259188,134,110,0,0,0.000000,3237,0.996602,33,0.212121,5.578390,103.894531
pes2o,v23d,200000,172837,8876,34,34,203521,118718,118056,1050,59020,57986,366,202105,210,0.001032,1,1,0.008894,0.499932,326,0.001602,0.446226,0.446068,0.232381,244,207,0,0,0.000000,0,-1,0,-1,146.790503,171.589844
