# SCF v2.3.1 accepted merges by witness frame type (fineweb, structured)

# scale 100000

## empty_frame accepted merges (first 20 in candidate order)
<num> <=> <num> , <num> | L=[] R=[] | induced_unions=0 | pair_witnesses=2 | witness_types=empty_frame+internal_frame
<num> <=> if only | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> sigh | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> you ran | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> why the excuses | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> why the denial | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> its weird | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> urinary incontinence | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> advanced directives | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> clear and precise | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> chemical reaction | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> free the cans | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> - get advice | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> - make friends | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> - upload photos | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> opening reception sat | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> game index | | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> all rights reserved | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> great decorating addition | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> sort it out | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame

## left_boundary accepted merges (first 20 in candidate order)
the <=> cio ( | L=[] R=[sept] | induced_unions=1 | pair_witnesses=1 | witness_types=left_boundary
the <=> flanked by | L=[] R=[u . s] | induced_unions=1 | pair_witnesses=1 | witness_types=left_boundary
february <=> published on january | L=[] R=[<num> , <num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
february <=> tuesday , august | L=[] R=[<num> , <num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
february <=> friday may | L=[] R=[<num> , <num>] | induced_unions=1 | pair_witnesses=1 | witness_types=left_boundary
february <=> times june | L=[] R=[<num> , <num>] | induced_unions=1 | pair_witnesses=1 | witness_types=left_boundary
february <num> <=> <num> : <num> | L=[] R=[, <num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
