# SCF v2.3.1 accepted merges by witness frame type (fineweb, v23d)

# scale 100000

## empty_frame accepted merges (first 20 in candidate order)
<num> <=> <num> <num> <num> | L=[] R=[] | induced_unions=0 | pair_witnesses=2 | witness_types=empty_frame+left_boundary
<num> <=> and newfound feelings | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> if only | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> stefano | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> stefano stefano stefano | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> sigh | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> you ran | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> sorry everyone | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> and move on | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> why the excuses | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> why the denial | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> its weird | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> free the cans | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> rapidrecallexchange | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> <num> in august | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> september <num> <num> | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> apr | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
<num> <=> <num> sat | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
