# SCF v2.3.1 accepted merges by witness frame type (pes2o, v23d)

# scale 100000

## empty_frame accepted merges (first 20 in candidate order)
of a <=> paper | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> ncbi | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> nlm | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> gov | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> solge nomics | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> org | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> <num> b <num> | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> panth erdb | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> and <num> p | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> <num> and <num> | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> <num> to <num> | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> room temp | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> <num> • | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> <num> p <num> | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> clin | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> haque et al | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> rajkumar et al | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> rhodus et al | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> sahebjamee et al | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame
of a <=> korostoff et al | L=[] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=empty_frame

## left_boundary accepted merges (first 20 in candidate order)
of <=> <num> mathews sharrock | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> org downloaded may | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> <num> respectively figure | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> <num> years sd | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> a total of | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> <num> Â | L=[] R=[<num>] | induced_unions=1 | pair_witnesses=1 | witness_types=left_boundary
of <=> k <num> mh | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> elegans model | L=[] R=[<num>] | induced_unions=1 | pair_witnesses=1 | witness_types=left_boundary
of <=> p values of | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> potential targeted treatment | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> <num> × <num> | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> <num> over | L=[] R=[<num>] | induced_unions=1 | pair_witnesses=1 | witness_types=left_boundary
of <=> similarly the cdst | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> in going from | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> samples x px | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> proof of theorem | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> <num> to k | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> <num> up to | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> bs <num> proposition | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary
of <=> bs <num> lemma | L=[] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=left_boundary

## right_boundary accepted merges (first 20 in candidate order)
a <=> mathews sharrock <num> | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
a <=> weller et al | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
a <=> figure <num> b | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
a <=> franklin et al | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
a <=> fisher's exact test | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
