condition,terminal_anchor,punctuation_aware,nominal_scale,actual_tokens,substrings_total,singleton_context_share,shared_context_coverage,hub_record_share,largest_component_ratio_m1,largest_component_ratio_m2,largest_component_ratio_m4,largest_component_ratio_m8,largest_component_ratio_m16,neighborhood_jaccard_vs_prev,same_pos_rate_m1,same_pos_rate_m4,same_pos_rate_m16,same_pos_baseline,heldout_repl_b1,heldout_repl_b2_3,heldout_repl_b4_7,heldout_repl_b8_15,heldout_repl_b16plus,terminal_capable_share,terminal_complete_span_share,terminal_purity_m1,terminal_purity_m4,terminal_purity_m16,terminal_agreement_baseline,neighborhood_terminal_completion_rate
A,0,1,100000,100028.000000,2899.000000,0.894630,0.294065,0.033414,0.904450,0.478096,0.132459,0.043808,0.016557,-1.000000,0.368929,0.345882,0.488372,0.220402,0.943500,0.978500,0.990237,0.994475,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
B,0,0,100000,87975.000000,2525.000000,0.912950,0.244476,0.021921,0.880792,0.425743,0.106535,0.026931,0.012673,-1.000000,0.406515,0.464435,0.576923,0.225649,0.941000,0.961500,0.992974,0.977528,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
C,1,1,100000,100028.000000,2840.000000,0.890377,0.309146,0.040346,0.908099,0.492958,0.133803,0.042254,0.015493,-1.000000,0.375740,0.338947,0.488372,0.220402,0.941000,0.980500,0.991870,0.989848,1.000000,0.346127,0.019366,0.597022,0.608309,0.592105,0.547354,0.585714
D,1,0,100000,87975.000000,2478.000000,0.905958,0.267843,0.030279,0.897902,0.456820,0.107345,0.029863,0.011703,-1.000000,0.410747,0.444015,0.608696,0.225649,0.939000,0.969000,0.988558,0.990291,1.000000,0.389427,0.019370,0.603073,0.659170,0.552632,0.524453,0.624342
E,0,1,100000,104477.000000,3061.000000,0.888926,0.311217,0.038805,0.910813,0.488729,0.135903,0.044103,0.017968,-1.000000,0.375143,0.337349,0.461538,0.219465,0.940500,0.975500,0.991556,0.991189,1.000000,0.326691,0.015028,0.598323,0.612263,0.617647,0.560072,0.567857
delta_terminal,-,-,100000,0.000000,-53.000000,-0.005623,0.019224,0.007645,0.010379,0.022970,0.001077,0.000689,-0.001017,,0.005521,-0.013677,0.015886,0.000000,-0.002250,0.004750,-0.001392,0.004068,0.000000,,,,,,,
delta_punct,-,-,100000,12053.000000,368.000000,-0.016950,0.045446,0.010780,0.016927,0.044246,0.026191,0.014634,0.003837,,-0.036297,-0.111810,-0.104437,-0.005247,0.002250,0.014250,0.000287,0.008252,0.000000,,,,,,,
A,0,1,1000000,1000016.000000,28791.000000,0.836978,0.479705,0.113805,0.963496,0.569935,0.191206,0.065541,0.024765,0.256143,0.431052,0.300552,0.321881,0.280388,0.873000,0.972500,0.988000,0.984000,0.998500,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
B,0,0,1000000,865260.000000,24701.000000,0.857002,0.429945,0.087681,0.966479,0.546820,0.173677,0.057973,0.022671,0.259789,0.425418,0.347993,0.376608,0.282725,0.854000,0.962500,0.992000,0.993000,0.997535,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
C,1,1,1000000,1000016.000000,28123.000000,0.832159,0.495555,0.124010,0.960211,0.579455,0.197916,0.067347,0.025566,0.264784,0.455923,0.315433,0.320035,0.280388,0.868500,0.965500,0.981000,0.987500,0.997000,0.348078,0.015148,0.591092,0.541036,0.600598,0.546161,0.855357
D,1,0,1000000,865260.000000,24109.000000,0.849588,0.454546,0.100261,0.967315,0.563524,0.184247,0.061678,0.023726,0.250953,0.449018,0.362617,0.369663,0.282725,0.863500,0.959000,0.988000,0.990500,0.995628,0.402298,0.018375,0.603157,0.577840,0.635228,0.519091,0.889286
E,0,1,1000000,1043826.000000,30438.000000,0.831041,0.496404,0.120714,0.961233,0.583547,0.200670,0.068697,0.026119,0.261666,0.452956,0.303329,0.312446,0.280112,0.861000,0.968500,0.981000,0.988000,0.997500,0.325514,0.010349,0.585947,0.531839,0.564410,0.560891,0.819643
delta_terminal,-,-,1000000,0.000000,-630.000000,-0.006117,0.020226,0.011392,-0.001225,0.013112,0.008640,0.002755,0.000928,-0.000097,0.024236,0.014753,-0.004395,0.000000,0.002500,-0.005250,-0.005500,0.000500,-0.001704,,,,,,,
delta_punct,-,-,1000000,134756.000000,4052.000000,-0.018726,0.045384,0.024937,-0.005044,0.019523,0.015599,0.006618,0.001967,0.005092,0.006269,-0.047313,-0.052177,-0.002337,0.012000,0.008250,-0.005500,-0.006000,0.001168,,,,,,,
A,0,1,10000000,10000046.000000,98923.000000,0.795438,0.615873,0.214295,0.988102,0.875499,0.523771,0.241117,0.101523,0.474618,0.420556,0.343155,0.231795,0.280041,0.731500,0.953500,0.986500,0.994000,0.995000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
B,0,0,10000000,8631179.000000,84530.000000,0.810955,0.575703,0.185203,0.993529,0.878564,0.496617,0.222690,0.092168,0.491468,0.409565,0.357070,0.261871,0.281508,0.699500,0.939000,0.981000,0.984000,0.990500,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
C,1,1,10000000,10000046.000000,96169.000000,0.792704,0.626512,0.224229,0.985172,0.867899,0.526396,0.244590,0.103006,0.479942,0.437596,0.366356,0.243945,0.280041,0.727500,0.962500,0.983500,0.993000,0.996500,0.427986,0.031226,0.601706,0.620576,0.673520,0.510372,0.960714
D,1,0,10000000,8631179.000000,81830.000000,0.806891,0.592838,0.200051,0.993218,0.876366,0.499609,0.227496,0.095625,0.464954,0.422939,0.380986,0.276752,0.281508,0.701500,0.943500,0.976500,0.984000,0.992500,0.486667,0.039044,0.637315,0.676634,0.725442,0.500356,0.964286
E,0,1,10000000,10434519.000000,104044.000000,0.791572,0.627512,0.223467,0.985660,0.869469,0.526912,0.242734,0.102178,0.492504,0.435030,0.354453,0.229947,0.279866,0.704000,0.948500,0.979500,0.993000,0.997500,0.400071,0.019242,0.585000,0.591273,0.621988,0.519972,0.914286
delta_terminal,-,-,10000000,0.000000,-2727.000000,-0.003399,0.013887,0.012391,-0.001621,-0.004899,0.002809,0.004140,0.002470,-0.010595,0.015207,0.023558,0.013515,0.000000,-0.001000,0.006750,-0.003750,-0.000500,0.001750,,,,,,,
delta_punct,-,-,10000000,1368867.000000,14366.000000,-0.014852,0.036922,0.026635,-0.006736,-0.005766,0.026971,0.017760,0.008368,-0.000931,0.012824,-0.014273,-0.031442,-0.001468,0.029000,0.016750,0.006250,0.009500,0.004250,,,,,,,
