corpus,preprocessing,nominal_tokens,frame_type,witness_count,witness_share,candidate_count,candidate_share,accepted_merge_count,accepted_share,rejected_merge_count,rejected_share,redundant_candidate_count,induced_unions,exclusive_candidate_count,exclusive_accepted_count,largest_class_accepted_merges,largest_class_contribution_share,acceptance_rate_within_type
fineweb,structured,100000,empty_frame,57291,0.933900,57291,0.936556,308,0.378378,17023,0.932307,39960,2,57287,306,280,0.945946,0.005376
fineweb,structured,100000,left_boundary,2388,0.038927,2295,0.037517,210,0.257985,892,0.048853,1193,73,2295,210,11,0.037162,0.091503
fineweb,structured,100000,right_boundary,1407,0.022935,1341,0.021922,212,0.260442,273,0.014952,856,17,1341,212,3,0.010135,0.158091
fineweb,structured,100000,internal_frame,260,0.004238,245,0.004005,84,0.103194,71,0.003888,90,53,244,84,2,0.006757,0.342857
fineweb,v23d,100000,empty_frame,65341,0.938538,65341,0.939050,327,0.440701,31435,0.923201,33579,0,65322,325,258,0.803738,0.005005
fineweb,v23d,100000,left_boundary,835,0.011994,816,0.011727,134,0.180593,492,0.014449,190,12,816,134,17,0.052960,0.164216
fineweb,v23d,100000,right_boundary,3171,0.045547,3160,0.045414,227,0.305930,1993,0.058532,940,11,3154,227,40,0.124611,0.071835
fineweb,v23d,100000,internal_frame,273,0.003921,265,0.003808,54,0.072776,130,0.003818,81,21,265,54,6,0.018692,0.203774
pes2o,structured,100000,empty_frame,3003,0.929146,3000,0.929368,59,0.508621,2112,0.942016,829,0,3000,59,41,1.000000,0.019667
pes2o,structured,100000,left_boundary,94,0.029084,93,0.028810,24,0.206897,56,0.024978,13,3,93,24,0,0.000000,0.258065
pes2o,structured,100000,right_boundary,103,0.031869,103,0.031908,16,0.137931,65,0.028992,22,0,100,16,0,0.000000,0.155340
pes2o,structured,100000,internal_frame,32,0.009901,32,0.009913,17,0.146552,9,0.004014,6,7,32,17,0,0.000000,0.531250
pes2o,structured,200000,empty_frame,16290,0.966995,16269,0.967011,128,0.551724,11835,0.969685,4306,0,16269,128,93,0.989362,0.007868
pes2o,structured,200000,left_boundary,169,0.010032,168,0.009986,47,0.202586,101,0.008275,20,5,168,47,1,0.010638,0.279762
pes2o,structured,200000,right_boundary,331,0.019649,331,0.019674,30,0.129310,253,0.020729,48,3,310,30,0,0.000000,0.090634
pes2o,structured,200000,internal_frame,56,0.003324,56,0.003329,27,0.116379,16,0.001311,13,12,56,27,0,0.000000,0.482143
pes2o,structured,400000,empty_frame,53301,0.972114,53273,0.973005,232,0.479339,39479,0.975079,13562,0,53247,232,165,0.988024,0.004355
pes2o,structured,400000,left_boundary,842,0.015357,811,0.014813,98,0.202479,587,0.014498,126,6,810,98,1,0.005988,0.120838
pes2o,structured,400000,right_boundary,517,0.009429,509,0.009297,76,0.157025,366,0.009040,67,5,481,76,0,0.000000,0.149312
pes2o,structured,400000,internal_frame,170,0.003100,158,0.002886,78,0.161157,56,0.001383,24,19,158,78,1,0.005988,0.493671
pes2o,v23d,100000,empty_frame,17578,0.565573,17523,0.565769,134,0.259188,11431,0.653088,5958,0,17506,134,109,0.990909,0.007647
pes2o,v23d,100000,left_boundary,6447,0.207432,6436,0.207801,154,0.297872,2004,0.114495,4278,52,6415,154,0,0.000000,0.023928
pes2o,v23d,100000,right_boundary,5296,0.170399,5269,0.170121,116,0.224371,3340,0.190824,1813,1,5224,116,1,0.009091,0.022016
pes2o,v23d,100000,internal_frame,1759,0.056596,1744,0.056309,113,0.218569,728,0.041593,903,97,1741,113,0,0.000000,0.064794
