# SCF v2.3.1 accepted merges grouped by the boundary type of ALL their witnesses -- corpus clean_wiki_body (clean_body_keep_punct)
# A merge listed under empty_frame was triggered by (eps,eps) alone.

# scale 100000

## empty_frame (1088 accepted merges)
a <=> in <num> , | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> n | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> <num> to <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> <num> – <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> <num> , <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> also m | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> an estimated <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> <num> deletion syndrome | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> more than <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> they include : | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> * genetic disorders | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> * intellectual disability | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> * preempted diagnoses | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> president pictures | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> <num> - <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> { | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> + sample albedos | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> typicalalbedo | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> fresh asphalt | L=[] R=[] | witness_types=empty_frame | induced_unions=0
a <=> open ocean | L=[] R=[] | witness_types=empty_frame | induced_unions=0

## left_boundary (295 accepted merges)
these are <=> george woodcock states | L=[] R=[:] | witness_types=left_boundary | induced_unions=0
these are <=> they are | L=[] R=[:] | witness_types=left_boundary | induced_unions=0
these are <=> they include | L=[] R=[:] | witness_types=left_boundary | induced_unions=0
, <=> patois , cajun | L=[] R=[)] | witness_types=left_boundary | induced_unions=0
, <=> journey to | L=[] R=[the center of the earth] | witness_types=left_boundary | induced_unions=1
several <=> according to the | L=[] R=[u] | witness_types=left_boundary | induced_unions=0
several <=> mercedes - benz | L=[] R=[u] | witness_types=left_boundary | induced_unions=0
several <=> the state's two | L=[] R=[u] | witness_types=left_boundary | induced_unions=0
several <=> in surveys of | L=[] R=[u] | witness_types=left_boundary | induced_unions=0
non <=> other non | L=[] R=[- christian faiths] | witness_types=left_boundary | induced_unions=1
state <=> a general map | L=[] R=[of alabama] | witness_types=left_boundary | induced_unions=0
in <=> forces on april | L=[] R=[<num> , <num>] | witness_types=left_boundary | induced_unions=0
in <=> immigration from outside | L=[] R=[the u] | witness_types=left_boundary | induced_unions=0
in <=> it seats | L=[] R=[<num> , <num>] | witness_types=left_boundary | induced_unions=1
in <=> battle of may | L=[] R=[<num> , <num>] | witness_types=left_boundary | induced_unions=0
greek <=> latin <num> ad | L=[] R=[uncial] | witness_types=left_boundary | induced_unions=0
) <=> * no babbling | L=[] R=[by <num> months] | witness_types=left_boundary | induced_unions=0
first <=> arise , my | L=[] R=[love] | witness_types=left_boundary | induced_unions=0
first <=> no time for | L=[] R=[love] | witness_types=left_boundary | induced_unions=0
first <=> shakespeare in | L=[] R=[love] | witness_types=left_boundary | induced_unions=0

## right_boundary (513 accepted merges)
a <=> / cyrillic a | L=[roman] R=[] | witness_types=right_boundary | induced_unions=0
a <=> cameron menzies | L=[william] R=[] | witness_types=right_boundary | induced_unions=1
a <=> walter h | L=[hal pereira] R=[] | witness_types=right_boundary | induced_unions=2
a <=> walter tyler | L=[hal pereira] R=[] | witness_types=right_boundary | induced_unions=2
a <=> flannery | L=[william] R=[] | witness_types=right_boundary | induced_unions=0
a <=> joseph mcmillan johnson | L=[hal pereira] R=[] | witness_types=right_boundary | induced_unions=0
a <=> kiernan | L=[william] R=[] | witness_types=right_boundary | induced_unions=2
a <=> glasgow | L=[william] R=[] | witness_types=right_boundary | induced_unions=0
a <=> jack poplin | L=[hal pereira] R=[] | witness_types=right_boundary | induced_unions=1
a <=> arthur lonergan | L=[hal pereira] R=[] | witness_types=right_boundary | induced_unions=1
a <=> creber ward preston | L=[william] R=[] | witness_types=right_boundary | induced_unions=0
a <=> sandell | L=[william] R=[] | witness_types=right_boundary | induced_unions=0
, <=> white v | L=[in <num>] R=[] | witness_types=right_boundary | induced_unions=1
, <=> , the r | L=[in <num>] R=[] | witness_types=right_boundary | induced_unions=0
categories <=> posterior analytics | L=[#] R=[] | witness_types=right_boundary | induced_unions=0
categories <=> on sophistical refutations | L=[#] R=[] | witness_types=right_boundary | induced_unions=0
e <=> fredric hope | L=[cedric gibbons] R=[] | witness_types=right_boundary | induced_unions=1
e <=> william horning | L=[cedric gibbons] R=[] | witness_types=right_boundary | induced_unions=1
e <=> john s | L=[cedric gibbons] R=[] | witness_types=right_boundary | induced_unions=1
e <=> nathan h | L=[cedric gibbons] R=[] | witness_types=right_boundary | induced_unions=1

## internal_frame (112 accepted merges)
- <=> per <num> , | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
- <=> , <num> , | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
- <=> w m− | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
- <=> to + | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
- <=> % in | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
- <=> % white ( | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
- <=> % asian , | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
- <=> % mormon , | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
- <=> % jewish , | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
- <=> % muslim , | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
- <=> % in april | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
- <=> billion in march | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
- <=> % <num> , | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
- <=> in ( | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
- <=> lb ( | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> to the <num> | L=[according] R=[u] | witness_types=internal_frame | induced_unions=0
in <=> in spanish and | L=[<num> %] R=[<num>] | witness_types=internal_frame | induced_unions=0
in <=> % white | L=[<num>] R=[( <num>] | witness_types=internal_frame | induced_unions=1
in <=> asian , | L=[<num> %] R=[<num>] | witness_types=internal_frame | induced_unions=1
in <=> mormon , | L=[<num> %] R=[<num>] | witness_types=internal_frame | induced_unions=1

## mixed (10 accepted merges)
a <=> holiday | L=[] R=[] | witness_types=empty_frame+right_boundary | induced_unions=1
a <=> roland anderson | L=[] R=[] | witness_types=empty_frame+right_boundary | induced_unions=1
a <=> pefferle | L=[] R=[] | witness_types=empty_frame+right_boundary | induced_unions=2
