# SCF v2.3.1 accepted merges grouped by the boundary type of ALL their witnesses -- corpus clean_wiki_body (clean_body_drop_punct)
# A merge listed under empty_frame was triggered by (eps,eps) alone.

# scale 40000

## empty_frame (221 accepted merges)
these are <=> e | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> leader ruler cf | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> in <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> published in <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> league | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> george woodcock states | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> c | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> n | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> t | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> <num> to <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> <num> – <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> l | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> g | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> also m | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> <num> in <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> an estimated <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> unbalanced excitatory–inhibitory networks | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> <num> deletion syndrome | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> by <num> months | L=[] R=[] | witness_types=empty_frame | induced_unions=0
these are <=> <num> <num> without | L=[] R=[] | witness_types=empty_frame | induced_unions=0

## left_boundary (80 accepted merges)
several <=> according to the | L=[] R=[u] | witness_types=left_boundary | induced_unions=0
several <=> mercedes benz | L=[] R=[u] | witness_types=left_boundary | induced_unions=0
several <=> the state's two | L=[] R=[u] | witness_types=left_boundary | induced_unions=0
non <=> other non | L=[] R=[christian faiths] | witness_types=left_boundary | induced_unions=1
state <=> a general map | L=[] R=[of alabama] | witness_types=left_boundary | induced_unions=0
state <=> echota cherokee tribe | L=[] R=[of alabama] | witness_types=left_boundary | induced_unions=0
in <=> <num> per <num> | L=[] R=[<num>] | witness_types=left_boundary | induced_unions=0
in <=> greek alpha version | L=[] R=[<num>] | witness_types=left_boundary | induced_unions=0
in <=> semitic a version | L=[] R=[<num>] | witness_types=left_boundary | induced_unions=0
