# SCF v2.3.1 accepted merges grouped by the boundary type of ALL their witnesses -- corpus clean_probe (clean_body_keep_punct)
# A merge listed under empty_frame was triggered by (eps,eps) alone.

# scale 20000

## empty_frame (17 accepted merges)
e <=> s | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> william b | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> <num> million | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> c | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> n | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> t | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> l | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> g | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> also m | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> about <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> an estimated <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> <num> deletion syndrome | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> they include : | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> * genetic disorders | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> * intellectual disability | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> * preempted diagnoses | L=[] R=[] | witness_types=empty_frame | induced_unions=0
e <=> president pictures | L=[] R=[] | witness_types=empty_frame | induced_unions=0

## left_boundary (4 accepted merges)
) <=> * no babbling | L=[] R=[by <num> months] | witness_types=left_boundary | induced_unions=0
, published in <=> about | L=[] R=[<num>] | witness_types=left_boundary | induced_unions=0
, published in <=> an estimated | L=[] R=[<num>] | witness_types=left_boundary | induced_unions=0
george woodcock states <=> they include | L=[] R=[:] | witness_types=left_boundary | induced_unions=0

## right_boundary (5 accepted merges)
million <=> deletion syndrome | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
million <=> : <num> without | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
intellectual disability <=> unbalanced excitatory–inhibitory networks | L=[*] R=[] | witness_types=right_boundary | induced_unions=0
intellectual disability <=> genetic disorders | L=[*] R=[] | witness_types=right_boundary | induced_unions=0
intellectual disability <=> preempted diagnoses | L=[*] R=[] | witness_types=right_boundary | induced_unions=0

## internal_frame (1 accepted merges)
babbling <=> single words | L=[* no] R=[by <num> months] | witness_types=internal_frame | induced_unions=2

## mixed (0 accepted merges)

# scale 40000

## empty_frame (165 accepted merges)
, <=> e | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> in <num> , | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> n | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> <num> to <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> <num> – <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> <num> , <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
