# SCF v2.3.1 accepted merges grouped by the boundary type of ALL their witnesses -- corpus clean_wiki_body (clean_body_keep_punct)
# A merge listed under empty_frame was triggered by (eps,eps) alone.

# scale 40000

## empty_frame (165 accepted merges)
, <=> e | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> in <num> , | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> n | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> <num> to <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> <num> – <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> <num> , <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> l | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> g | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> also m | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> an estimated <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> multiple | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> <num> deletion syndrome | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> they include : | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> * genetic disorders | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> * intellectual disability | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> * preempted diagnoses | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> president pictures | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> <num> - <num> | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> + sample albedos | L=[] R=[] | witness_types=empty_frame | induced_unions=0
, <=> typicalalbedo | L=[] R=[] | witness_types=empty_frame | induced_unions=0

## left_boundary (51 accepted merges)
these are <=> george woodcock states | L=[] R=[:] | witness_types=left_boundary | induced_unions=0
these are <=> they include | L=[] R=[:] | witness_types=left_boundary | induced_unions=1
, <=> patois , cajun | L=[] R=[)] | witness_types=left_boundary | induced_unions=0
several <=> according to the | L=[] R=[u] | witness_types=left_boundary | induced_unions=0
several <=> mercedes - benz | L=[] R=[u] | witness_types=left_boundary | induced_unions=0
several <=> the state's two | L=[] R=[u] | witness_types=left_boundary | induced_unions=0
non <=> other non | L=[] R=[- christian faiths] | witness_types=left_boundary | induced_unions=1
state <=> a general map | L=[] R=[of alabama] | witness_types=left_boundary | induced_unions=0
in <=> forces on april | L=[] R=[<num> , <num>] | witness_types=left_boundary | induced_unions=0
in <=> immigration from outside | L=[] R=[the u] | witness_types=left_boundary | induced_unions=0
in <=> it seats | L=[] R=[<num> , <num>] | witness_types=left_boundary | induced_unions=1
greek <=> latin <num> ad | L=[] R=[uncial] | witness_types=left_boundary | induced_unions=0
) <=> * no babbling | L=[] R=[by <num> months] | witness_types=left_boundary | induced_unions=0
in <num> <=> <num> per <num> | L=[] R=[, <num>] | witness_types=left_boundary | induced_unions=0
in <num> <=> <num> % asian | L=[] R=[, <num>] | witness_types=left_boundary | induced_unions=0
in <num> <=> <num> % mormon | L=[] R=[, <num>] | witness_types=left_boundary | induced_unions=0
in <num> <=> <num> % jewish | L=[] R=[, <num>] | witness_types=left_boundary | induced_unions=0
in <num> <=> <num> % muslim | L=[] R=[, <num>] | witness_types=left_boundary | induced_unions=0
in <num> <=> <num> % <num> | L=[] R=[, <num>] | witness_types=left_boundary | induced_unions=0
: <=> , published in | L=[] R=[<num>] | witness_types=left_boundary | induced_unions=0

## right_boundary (45 accepted merges)
a <=> / cyrillic a | L=[roman] R=[] | witness_types=right_boundary | induced_unions=0
, <=> white v | L=[in <num>] R=[] | witness_types=right_boundary | induced_unions=1
) <=> published in <num> | L=[,] R=[] | witness_types=right_boundary | induced_unions=0
) <=> in french | L=[<num> %] R=[] | witness_types=right_boundary | induced_unions=1
) <=> : <num> without | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
) <=> for dirty snow | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
