corpus,nominal_tokens,frame_type,witness_count,witness_share,candidate_count_any,candidate_count_only,candidate_only_share,accepted_any,accepted_only,accepted_only_share,rejected_any,rejected_only,redundant_only,induced_unions_only,accepted_only_in_largest_class
clean_probe,20000,empty_frame,210,0.913043,210,210,0.913043,17,17,0.629630,57,57,136,0,17
clean_probe,20000,left_boundary,5,0.021739,5,5,0.021739,4,4,0.148148,0,0,1,0,0
clean_probe,20000,right_boundary,12,0.052174,12,12,0.052174,5,5,0.185185,3,3,4,0,0
clean_probe,20000,internal_frame,3,0.013043,3,3,0.013043,1,1,0.037037,0,0,2,2,0
clean_probe,20000,mixed,0,0,0,0,0.000000,0,0,0.000000,0,0,0,0,0
clean_probe,40000,empty_frame,22791,0.961402,22791,22751,0.961703,166,165,0.512422,15064,15032,7554,4,122
clean_probe,40000,left_boundary,241,0.010166,240,230,0.009722,51,51,0.158385,133,124,55,4,1
clean_probe,40000,right_boundary,362,0.015270,361,341,0.014414,46,45,0.139752,253,234,62,3,1
clean_probe,40000,internal_frame,312,0.013161,310,293,0.012385,60,60,0.186335,103,92,141,28,0
clean_probe,40000,mixed,0,0,42,42,0.001775,1,1,0.003106,34,34,7,0,0
clean_probe60k,60000,empty_frame,28203,0.964733,28203,28152,0.965002,187,185,0.519663,18887,18845,9122,4,133
clean_probe60k,60000,left_boundary,290,0.009920,289,276,0.009461,58,57,0.160112,172,161,58,4,1
clean_probe60k,60000,right_boundary,424,0.014504,423,394,0.013506,51,50,0.140449,304,276,68,3,1
clean_probe60k,60000,internal_frame,317,0.010844,315,297,0.010181,62,62,0.174157,104,92,143,30,0
clean_probe60k,60000,mixed,0,0,54,54,0.001851,2,2,0.005618,45,45,7,0,0
clean_probe80k,80000,empty_frame,56953,0.975223,56953,56898,0.975400,280,278,0.553785,33923,33877,22743,4,210
clean_probe80k,80000,left_boundary,396,0.006781,394,381,0.006531,71,70,0.139442,257,246,65,6,1
clean_probe80k,80000,right_boundary,699,0.011969,697,664,0.011383,85,84,0.167331,489,457,123,5,2
clean_probe80k,80000,internal_frame,352,0.006027,350,332,0.005691,68,68,0.135458,128,116,148,33,0
clean_probe80k,80000,mixed,0,0,58,58,0.000994,2,2,0.003984,49,49,7,0,0
clean_wiki_body,100000,empty_frame,695610,0.983190,695610,695386,0.983300,1095,1088,0.539148,246854,246689,447609,29,930
clean_wiki_body,100000,left_boundary,1557,0.002201,1534,1480,0.002093,296,295,0.146184,860,816,369,21,1
clean_wiki_body,100000,right_boundary,9774,0.013815,9747,9561,0.013520,523,513,0.254212,4429,4296,4752,36,24
clean_wiki_body,100000,internal_frame,562,0.000794,559,520,0.000735,115,112,0.055500,196,171,237,56,1
clean_wiki_body,100000,mixed,0,0,249,249,0.000352,10,10,0.004955,182,182,57,0,0
v23_baseline_condition_d,40000,empty_frame,2628,0.529092,2628,2626,0.530184,58,58,0.394558,1242,1240,1328,0,52
v23_baseline_condition_d,40000,left_boundary,779,0.156835,778,771,0.155663,28,28,0.190476,584,577,166,0,0
v23_baseline_condition_d,40000,right_boundary,868,0.174753,867,862,0.174036,27,27,0.183673,566,561,274,1,0
v23_baseline_condition_d,40000,internal_frame,692,0.139320,691,687,0.138704,34,34,0.231293,419,415,238,39,0
v23_baseline_condition_d,40000,mixed,0,0,7,7,0.001413,0,0,0.000000,7,7,0,0,0
clean_wiki_body,40000,empty_frame,33411,0.958159,33411,33342,0.958489,221,221,0.572539,17196,17132,15989,8,177
clean_wiki_body,40000,left_boundary,581,0.016662,578,567,0.016300,80,80,0.207254,379,370,117,4,4
clean_wiki_body,40000,right_boundary,592,0.016977,590,558,0.016041,59,59,0.152850,347,316,183,1,12
clean_wiki_body,40000,internal_frame,286,0.008202,286,248,0.007129,26,26,0.067358,204,169,53,22,0
clean_wiki_body,40000,mixed,0,0,71,71,0.002041,0,0,0.000000,66,66,5,0,0
