grammar,L,k,scope,universe_size,num_learned_classes,num_gold_classes,ARI,NMI,pairwise_precision,pairwise_recall,merge_errors,split_errors,merge_errors_excl_obs_equiv,observationally_equivalent_gold_category_groups,refined_from_previous_k,partition_hash
simple_np_vp,2,0,full,30,1,5,0.000000,0.000000,0.588506,1.000000,179,0,179,0,0,8696eda397e55862
simple_np_vp,2,1,full,30,3,5,0.130670,0.367974,0.636042,0.703125,103,76,103,0,1,224eab773b194750
simple_np_vp,2,2,full,30,6,5,0.660923,0.829008,1.000000,0.703125,0,76,0,0,1,2d2d3b17738b1a66
simple_np_vp,2,3,full,30,6,5,0.660923,0.829008,1.000000,0.703125,0,76,0,0,0,2d2d3b17738b1a66
simple_np_vp,2,4,full,30,6,5,0.660923,0.829008,1.000000,0.703125,0,76,0,0,0,2d2d3b17738b1a66
simple_np_vp,2,0,constituents,7,1,4,0.000000,0.000000,0.142857,1.000000,18,0,18,0,0,11c304b725eb4482
simple_np_vp,2,1,constituents,7,2,4,0.263158,0.613593,0.272727,1.000000,8,0,8,0,1,8d6a36cfce3b7671
simple_np_vp,2,2,constituents,7,4,4,1.000000,1.000000,1.000000,1.000000,0,0,0,0,1,b78e208d30cdada7
simple_np_vp,2,3,constituents,7,4,4,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0,b78e208d30cdada7
simple_np_vp,2,4,constituents,7,4,4,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0,b78e208d30cdada7
simple_np_vp,3,0,full,155,2,6,0.504113,0.495702,0.909452,1.000000,1026,0,1026,0,1,1a3903643cde6921
simple_np_vp,3,1,full,155,4,6,0.531619,0.564412,0.932268,0.945657,708,560,708,0,1,0370210e86450e97
simple_np_vp,3,2,full,155,7,6,0.826185,0.860500,1.000000,0.945657,0,560,0,0,1,c302bad5e33a1e34
simple_np_vp,3,3,full,155,7,6,0.826185,0.860500,1.000000,0.945657,0,560,0,0,0,c302bad5e33a1e34
simple_np_vp,3,4,full,155,7,6,0.826185,0.860500,1.000000,0.945657,0,560,0,0,0,c302bad5e33a1e34
simple_np_vp,3,0,constituents,11,2,5,0.337349,0.603800,0.333333,1.000000,18,0,18,0,1,257fc83d32aaaf21
simple_np_vp,3,1,constituents,11,3,5,0.608541,0.812098,0.529412,1.000000,8,0,8,0,1,ab311274bab6ef50
simple_np_vp,3,2,constituents,11,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,1,ae01f9b6acf82066
simple_np_vp,3,3,constituents,11,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0,ae01f9b6acf82066
simple_np_vp,3,4,constituents,11,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0,ae01f9b6acf82066
simple_np_vp,4,0,full,780,2,6,0.527687,0.503892,0.982039,1.000000,5401,0,5401,0,1,3dfcca21d6b0feb1
simple_np_vp,4,1,full,780,4,6,0.563847,0.563479,0.987054,0.989638,3833,3060,3833,0,1,11bb677fba787887
simple_np_vp,4,2,full,780,7,6,0.842451,0.856151,1.000000,0.989638,0,3060,0,0,1,17f3cc027452c3a7
simple_np_vp,4,3,full,780,7,6,0.842451,0.856151,1.000000,0.989638,0,3060,0,0,0,17f3cc027452c3a7
simple_np_vp,4,4,full,780,7,6,0.842451,0.856151,1.000000,0.989638,0,3060,0,0,0,17f3cc027452c3a7
simple_np_vp,4,0,constituents,11,2,5,0.337349,0.603800,0.333333,1.000000,18,0,18,0,1,257fc83d32aaaf21
simple_np_vp,4,1,constituents,11,3,5,0.608541,0.812098,0.529412,1.000000,8,0,8,0,1,ab311274bab6ef50
simple_np_vp,4,2,constituents,11,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,1,ae01f9b6acf82066
simple_np_vp,4,3,constituents,11,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0,ae01f9b6acf82066
simple_np_vp,4,4,constituents,11,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0,ae01f9b6acf82066
simple_np_vp,5,0,full,3905,2,6,0.532212,0.509484,0.996414,1.000000,27276,0,27276,0,1,74851f0f32176981
simple_np_vp,5,1,full,3905,4,6,0.569927,0.564639,0.997434,0.997947,19458,15560,19458,0,1,a475a511231b5337
simple_np_vp,5,2,full,3905,7,6,0.845424,0.854082,1.000000,0.997947,0,15560,0,0,1,1cfc5bac60f1d4c4
simple_np_vp,5,3,full,3905,7,6,0.845424,0.854082,1.000000,0.997947,0,15560,0,0,0,1cfc5bac60f1d4c4
simple_np_vp,5,4,full,3905,7,6,0.845424,0.854082,1.000000,0.997947,0,15560,0,0,0,1cfc5bac60f1d4c4
simple_np_vp,5,0,constituents,11,2,5,0.337349,0.603800,0.333333,1.000000,18,0,18,0,1,257fc83d32aaaf21
simple_np_vp,5,1,constituents,11,3,5,0.608541,0.812098,0.529412,1.000000,8,0,8,0,1,ab311274bab6ef50
simple_np_vp,5,2,constituents,11,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,1,ae01f9b6acf82066
simple_np_vp,5,3,constituents,11,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0,ae01f9b6acf82066
simple_np_vp,5,4,constituents,11,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0,ae01f9b6acf82066
simple_np_vp,6,0,full,19530,2,6,0.533109,0.513350,0.999283,1.000000,136651,0,136651,0,1,f6623caf09089691
simple_np_vp,6,1,full,19530,4,6,0.571129,0.565685,0.999488,0.999590,97583,78060,97583,0,1,f487a452107909a7
simple_np_vp,6,2,full,19530,7,6,0.846008,0.852774,1.000000,0.999590,0,78060,0,0,1,7bfac1e99e559577
simple_np_vp,6,3,full,19530,7,6,0.846008,0.852774,1.000000,0.999590,0,78060,0,0,0,7bfac1e99e559577
simple_np_vp,6,4,full,19530,7,6,0.846008,0.852774,1.000000,0.999590,0,78060,0,0,0,7bfac1e99e559577
simple_np_vp,6,0,constituents,11,2,5,0.337349,0.603800,0.333333,1.000000,18,0,18,0,1,257fc83d32aaaf21
simple_np_vp,6,1,constituents,11,3,5,0.608541,0.812098,0.529412,1.000000,8,0,8,0,1,ab311274bab6ef50
simple_np_vp,6,2,constituents,11,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,1,ae01f9b6acf82066
simple_np_vp,6,3,constituents,11,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0,ae01f9b6acf82066
simple_np_vp,6,4,constituents,11,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0,ae01f9b6acf82066
transitive,2,0,full,42,1,6,0.000000,0.000000,0.655052,1.000000,297,0,297,0,0,e4d0d3cfa44391e2
transitive,2,1,full,42,3,6,0.221139,0.342472,0.709220,0.886525,205,64,205,0,1,6ff18d66e2cd12d0
transitive,2,2,full,42,6,6,0.671037,0.768991,0.886525,0.886525,64,64,64,0,1,e1edc4aaced43816
transitive,2,3,full,42,8,6,0.368914,0.601566,0.865979,0.595745,52,228,52,0,1,e160da88d18e72d8
transitive,2,4,full,42,9,6,0.504137,0.710231,1.000000,0.595745,0,228,0,0,1,a5d57ba55d2a5359
transitive,2,0,constituents,8,1,5,0.000000,0.000000,0.107143,1.000000,25,0,25,0,0,ade98a5e1b7b45a2
transitive,2,1,constituents,8,2,5,0.165138,0.530026,0.187500,1.000000,13,0,13,0,1,d7c9945f91337301
transitive,2,2,constituents,8,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,1,22e115e489833c65
transitive,2,3,constituents,8,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0,22e115e489833c65
transitive,2,4,constituents,8,5,5,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0,22e115e489833c65
transitive,3,0,full,258,2,7,0.235074,0.261793,0.908673,1.000000,2981,0,2981,0,1,2aa40882b2c80fd1
transitive,3,1,full,258,4,7,0.374556,0.416280,0.922445,0.983682,2453,484,2453,0,1,7a4612cc700edbe7
transitive,3,2,full,258,9,7,0.633678,0.674849,0.983139,0.920027,468,2372,468,0,1,b937a497c3dedbc9
transitive,3,3,full,258,11,7,0.524879,0.581277,0.982706,0.873635,456,3748,456,0,1,5fe3aeaa3ea88dcb
transitive,3,4,full,258,12,7,0.592970,0.649277,1.000000,0.873635,0,3748,0,0,1,2d85c722393d906c
transitive,3,0,constituents,14,2,6,0.122293,0.394667,0.208955,1.000000,53,0,53,0,1,71f10816d4984f61
transitive,3,1,constituents,14,3,6,0.290909,0.646229,0.297872,1.000000,33,0,33,0,1,dc7bbac332f13230
transitive,3,2,constituents,14,6,6,1.000000,1.000000,1.000000,1.000000,0,0,0,0,1,8dcbd0582198d046
transitive,3,3,constituents,14,6,6,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0,8dcbd0582198d046
transitive,3,4,constituents,14,6,6,1.000000,1.000000,1.000000,1.000000,0,0,0,0,0,8dcbd0582198d046
transitive,4,0,full,1554,2,7,0.247534,0.258315,0.984602,1.000000,18533,0,18533,0,1,fe6b9fc4af75f0d1
transitive,4,1,full,1554,5,7,0.241639,0.276582,0.987028,0.981938,15293,21404,15293,0,1,4a807a4cb0e6a796
transitive,4,2,full,1554,10,7,0.491181,0.525390,0.997370,0.971677,3036,33564,3036,0,1,f9d1be1f4651995a
transitive,4,3,full,1554,12,7,0.434082,0.465620,0.997360,0.964015,3024,42644,3024,0,1,18edbd4791f251dc
transitive,4,4,full,1554,13,7,0.489982,0.525173,1.000000,0.964015,0,42644,0,0,1,7615d37bad5488dd
transitive,4,0,constituents,14,2,6,0.122293,0.394667,0.208955,1.000000,53,0,53,0,1,71f10816d4984f61
transitive,4,1,constituents,14,3,6,0.290909,0.646229,0.297872,1.000000,33,0,33,0,1,dc7bbac332f13230
