grammar,L,k,num_learned_classes,composition_triples,labeled_triples,composition_precision,composition_recall,functional_input_pairs,nonfunctional_input_pairs,congruence_violations,witnessable_gold_rules,recovered_gold_rules
simple_np_vp,2,0,1,1,1,1.000000,1.000000,1,0,0,1,1
simple_np_vp,2,1,3,3,2,0.500000,1.000000,0,1,1,1,1
simple_np_vp,2,2,6,9,1,1.000000,1.000000,9,0,0,1,1
simple_np_vp,2,3,6,9,1,1.000000,1.000000,9,0,0,1,1
simple_np_vp,2,4,6,9,1,1.000000,1.000000,9,0,0,1,1
simple_np_vp,3,0,2,2,2,1.000000,1.000000,0,1,1,2,2
simple_np_vp,3,1,4,9,5,0.400000,1.000000,2,3,3,2,2
simple_np_vp,3,2,7,27,2,1.000000,1.000000,27,0,0,2,2
simple_np_vp,3,3,7,27,2,1.000000,1.000000,27,0,0,2,2
simple_np_vp,3,4,7,27,2,1.000000,1.000000,27,0,0,2,2
simple_np_vp,4,0,2,4,4,0.500000,1.000000,2,1,1,2,2
simple_np_vp,4,1,4,15,8,0.250000,1.000000,8,3,3,2,2
simple_np_vp,4,2,7,42,2,1.000000,1.000000,42,0,0,2,2
simple_np_vp,4,3,7,42,2,1.000000,1.000000,42,0,0,2,2
simple_np_vp,4,4,7,42,2,1.000000,1.000000,42,0,0,2,2
simple_np_vp,5,0,2,4,4,0.500000,1.000000,2,1,1,2,2
simple_np_vp,5,1,4,19,10,0.200000,1.000000,12,3,3,2,2
simple_np_vp,5,2,7,48,2,1.000000,1.000000,48,0,0,2,2
simple_np_vp,5,3,7,48,2,1.000000,1.000000,48,0,0,2,2
simple_np_vp,5,4,7,48,2,1.000000,1.000000,48,0,0,2,2
simple_np_vp,6,0,2,5,5,0.400000,1.000000,3,1,1,2,2
simple_np_vp,6,1,4,20,11,0.181818,1.000000,13,3,3,2,2
simple_np_vp,6,2,7,49,2,1.000000,1.000000,49,0,0,2,2
simple_np_vp,6,3,7,49,2,1.000000,1.000000,49,0,0,2,2
simple_np_vp,6,4,7,49,2,1.000000,1.000000,49,0,0,2,2
transitive,2,0,1,1,1,1.000000,1.000000,1,0,0,1,1
transitive,2,1,3,3,2,0.500000,1.000000,0,1,1,1,1
transitive,2,2,6,16,15,0.066667,1.000000,16,0,0,1,1
transitive,2,3,8,16,13,0.076923,1.000000,16,0,0,1,1
transitive,2,4,9,16,1,1.000000,1.000000,16,0,0,1,1
transitive,3,0,2,2,2,1.000000,1.000000,0,1,1,3,3
transitive,3,1,4,9,5,0.600000,1.000000,2,3,3,3,3
transitive,3,2,9,36,23,0.130435,1.000000,28,4,4,3,3
transitive,3,3,11,50,22,0.136364,1.000000,46,2,2,3,3
transitive,3,4,12,56,3,1.000000,1.000000,56,0,0,3,3
transitive,4,0,2,4,4,0.500000,1.000000,2,1,1,3,3
transitive,4,1,5,18,8,0.375000,1.000000,7,4,4,3,3
transitive,4,2,10,68,34,0.088235,1.000000,54,6,6,3,3
transitive,4,3,12,92,33,0.090909,1.000000,84,4,4,3,3
transitive,4,4,13,105,3,1.000000,1.000000,105,0,0,3,3
transitive,5,0,2,4,4,0.500000,1.000000,2,1,1,3,3
transitive,5,1,5,26,11,0.272727,1.000000,12,5,5,3,3
transitive,5,2,10,88,36,0.083333,1.000000,74,6,6,3,3
transitive,5,3,12,124,35,0.085714,1.000000,116,4,4,3,3
transitive,5,4,13,143,3,1.000000,1.000000,143,0,0,3,3
transitive,6,0,2,5,5,0.400000,1.000000,3,1,1,3,3
transitive,6,1,5,31,12,0.250000,1.000000,17,5,5,3,3
transitive,6,2,10,101,37,0.081081,1.000000,87,6,6,3,3
transitive,6,3,12,141,36,0.083333,1.000000,133,4,4,3,3
transitive,6,4,13,162,3,1.000000,1.000000,162,0,0,3,3
recursive_modifier,2,0,1,1,1,1.000000,1.000000,1,0,0,2,2
recursive_modifier,2,1,3,3,2,1.000000,1.000000,0,1,1,2,2
recursive_modifier,2,2,6,16,15,0.133333,1.000000,16,0,0,2,2
recursive_modifier,2,3,7,16,4,0.500000,1.000000,16,0,0,2,2
recursive_modifier,2,4,7,16,4,0.500000,1.000000,16,0,0,2,2
recursive_modifier,3,0,2,2,2,1.000000,1.000000,0,1,1,3,3
recursive_modifier,3,1,4,10,5,0.600000,1.000000,2,3,3,3,3
recursive_modifier,3,2,7,34,25,0.120000,1.000000,30,2,2,3,3
recursive_modifier,3,3,8,40,5,0.600000,1.000000,40,0,0,3,3
recursive_modifier,3,4,8,40,5,0.600000,1.000000,40,0,0,3,3
recursive_modifier,4,0,2,4,4,0.500000,1.000000,2,1,1,3,3
recursive_modifier,4,1,4,16,8,0.375000,1.000000,8,3,3,3,3
recursive_modifier,4,2,7,47,34,0.088235,1.000000,41,3,3,3,3
recursive_modifier,4,3,8,57,5,0.600000,1.000000,57,0,0,3,3
recursive_modifier,4,4,8,57,5,0.600000,1.000000,57,0,0,3,3
